graphname,num_nodes,num_edges,optimal,degree1,degree2,degree3,closeness,clustering,pagerank,weighted,uniform,random,dynamic,saturation
west0479.mtx,479,1910,4,6,6,7,6,8,6,6,6,7.0,6,5
Trefethen_200.mtx,200,1545,3,6,4,4,6,5,7,8,3,8.2,3,3
spaceStation_2.mtx,329,2999,7,8,7,7,7,7,8,7,8,10.4,8,9
tols340.mtx,340,2196,19,19,19,19,19,19,19,19,19,19.0,19,19
dwt_346.mtx,346,1786,5,8,7,8,7,9,7,8,7,8.4,7,6
jazz.mtx,198,2742,30,30,30,30,30,30,30,30,30,30.0,30,30
can_292.mtx,292,1416,5,6,6,6,6,6,7,6,7,7.6,7,6
lund_a.mtx,147,1298,9,12,9,10,9,14,10,9,12,14.2,10,10
will199.mtx,199,701,4,5,5,5,5,6,6,5,5,6.0,4,4
sphere3.mtx,258,1026,3,3,5,5,5,3,4,5,3,6.2,3,3
cage_G_32.mtx,26,52,2,2,2,2,2,2,2,2,2,3.2,2,2
dwt_221.mtx,221,925,5,6,6,6,6,6,7,6,6,6.4,5,5
can_161.mtx,161,769,4,5,5,5,4,5,6,5,4,7.0,5,4
cage_G_21.mtx,58,87,3,4,4,4,4,4,4,4,4,4.0,3,3
GD99_c.mtx,105,149,3,3,3,3,3,3,3,3,3,4.0,3,3
west0156.mtx,156,371,3,4,5,4,5,5,4,4,5,5.0,4,4
cage_G_34.mtx,80,160,2,2,2,2,2,2,2,2,2,4.0,2,2
bcspwr05.mtx,443,1033,3,4,4,3,4,4,4,4,4,4.4,3,3
rajat05.mtx,301,1384,4,4,4,4,4,5,4,4,4,5.4,4,4
rotor1.mtx,100,708,7,7,7,8,7,7,7,8,9,8.8,8,7
cavity03.mtx,317,7327,19,19,19,19,19,22,22,19,19,21.0,19,19
cage_G_09.mtx,58,87,3,3,3,3,4,3,3,4,3,4.0,3,3
cage_G_10.mtx,58,87,3,3,3,3,4,3,3,4,3,3.6,3,3
nos5.mtx,468,2820,8,8,8,8,8,9,8,8,8,8.4,9,8
can_256.mtx,256,1586,7,8,9,9,9,9,8,9,8,9.0,8,8
ex2.mtx,441,13640,45,45,45,45,45,45,45,45,48,46.4,45,45
gent113.mtx,113,655,4,4,4,4,4,5,4,4,5,5.6,4,4
cage_G_44.mtx,266,1596,2,2,2,2,2,2,2,2,2,6.6,2,2
arc130.mtx,130,1282,15,15,15,16,15,15,15,15,16,15.2,16,15
mesh3em5.mtx,289,1089,3,6,5,5,4,6,5,4,6,6.0,3,3
poisson2D.mtx,367,2417,4,6,6,6,5,6,6,6,6,6.0,5,5
Erdos971.mtx,433,1314,7,9,9,9,9,10,9,9,9,10.6,8,8
west0381.mtx,381,2157,5,6,7,6,7,7,6,6,8,8.2,6,5
spaceStation_3.mtx,467,2681,7,8,9,7,7,7,8,7,8,9.8,8,9
cage_G_45.mtx,366,2562,2,2,2,2,2,2,2,2,2,6.6,2,2
lshp_265.mtx,265,1009,4,6,5,5,4,6,6,5,6,5.8,4,4
can_229.mtx,229,1003,4,4,5,5,5,5,6,5,4,7.0,5,4
mcca.mtx,180,2659,34,34,34,34,34,34,34,34,34,34.2,34,34
cage_G_08.mtx,58,87,3,3,3,3,4,3,3,4,3,3.8,3,3
olm500.mtx,500,1996,3,3,3,3,3,3,4,3,3,4.6,3,3
hor_131.mtx,434,4710,16,16,16,16,16,16,16,16,16,16.0,16,16
GD06_theory.mtx,101,190,2,2,2,2,2,2,2,2,2,2.2,2,2
str_200.mtx,363,3068,4,6,6,5,5,6,7,5,7,7.4,6,5
tumorAntiAngiogenesis_3.mtx,410,2099,4,5,5,5,5,6,5,5,5,6.4,5,5
plskz362.mtx,362,880,3,3,5,3,3,3,5,3,3,5.2,3,3
bcsstk04.mtx,132,1890,12,13,14,15,13,14,13,13,14,16.8,14,13
tumorAntiAngiogenesis_7.mtx,475,2441,4,5,5,5,5,6,5,5,5,6.4,5,5
hangGlider_1.mtx,360,1838,6,6,6,6,6,6,6,6,6,7.8,6,7
dwt_198.mtx,198,795,4,4,4,4,5,4,9,5,4,6.8,4,4
ex1.mtx,216,4352,10,10,12,10,11,10,10,10,14,13.8,10,12
Harvard500.mtx,500,2636,21,21,21,21,21,21,21,21,21,21.0,21,21
dwt_361.mtx,361,1657,4,5,5,5,4,5,6,6,5,7.2,4,4
ck104.mtx,104,992,6,8,8,8,6,8,8,6,8,8.2,6,6
dwt_310.mtx,310,1379,4,6,5,5,6,6,6,5,5,7.0,5,5
rajat14.mtx,180,1503,6,7,7,7,7,7,7,7,7,7.8,7,7
Chebyshev1.mtx,261,2319,7,7,7,7,7,8,8,7,7,9.0,7,7
cage_G_39.mtx,94,376,4,7,7,7,7,7,7,7,7,6.0,7,5
bfwb398.mtx,398,1654,3,5,4,4,4,5,6,4,5,6.2,4,3
cage_G_20.mtx,58,87,3,3,3,3,3,3,3,3,3,3.8,4,3
cage_G_25.mtx,70,105,2,2,2,2,2,2,2,2,2,3.8,2,2
celegansneural.mtx,297,2345,8,9,11,11,10,12,10,9,11,12.4,9,8
GD96_d.mtx,180,229,2,2,2,2,3,2,2,2,2,4.0,2,2
olm100.mtx,100,396,3,3,3,3,3,3,4,3,3,4.4,3,3
