graphname,ddouble_qnet
str_400.mtx,6
cage_G_23.mtx,3
cage_G_12.mtx,4
dwt_361.mtx,7
cage_G_13.mtx,4
polbooks.mtx,7
cage_G_35.mtx,5
cage_G_10.mtx,4
nos1.mtx,3
tumorAntiAngiogenesis_2.mtx,6
bcspwr03.mtx,5
cz308.mtx,9
grid1.mtx,2
can_256.mtx,9
cage_G_32.mtx,2
GD00_a.mtx,5
rajat14.mtx,7
Trefethen_200b.mtx,3
cavity03.mtx,24
mesh3em5.mtx,5
bfwa398.mtx,9
sphere3.mtx,5
pde225.mtx,2
impcol_c.mtx,6
nos5.mtx,8
cage_G_14.mtx,4
nos4.mtx,5
GD98_c.mtx,3
tumorAntiAngiogenesis_6.mtx,5
hor_131.mtx,16
bcsstk22.mtx,5
arc130.mtx,15
cage_G_19.mtx,4
plat362.mtx,12
lop163.mtx,3
tumorAntiAngiogenesis_4.mtx,6
rajat11.mtx,7
impcol_e.mtx,12
impcol_a.mtx,5
cage_G_05.mtx,4
cage_G_39.mtx,6
cage_G_08.mtx,4
cz148.mtx,10
cage_G_42.mtx,2
odepa400.mtx,3
lns_131.mtx,7
bcsstk04.mtx,14
cage_G_28.mtx,4
dwt_209.mtx,7
nnc261.mtx,3
ck400.mtx,10
mhdb416.mtx,8
cage_G_18.mtx,4
cage_G_37.mtx,2
cage_G_29.mtx,2
lund_a.mtx,14
tumorAntiAngiogenesis_3.mtx,6
cage_G_22.mtx,4
bcsstm07.mtx,17
hangGlider_1.mtx,7
bcsstk06.mtx,16
mhda416.mtx,17
robot.mtx,8
str_0.mtx,5
cage_G_21.mtx,4
Trefethen_150.mtx,6
GD99_c.mtx,4
GD97_c.mtx,4
bcspwr05.mtx,4
west0167.mtx,5
rdb200.mtx,2
bfwb398.mtx,7
tumorAntiAngiogenesis_8.mtx,6
tumorAntiAngiogenesis_5.mtx,6
celegansneural.mtx,11
jazz.mtx,30
bcsstk05.mtx,9
adjnoun.mtx,6
Trefethen_500.mtx,3
rotor1.mtx,8
ex1.mtx,12
Trefethen_300.mtx,4
gent113.mtx,5
spaceStation_2.mtx,7
cage_G_38.mtx,7
dwt_307.mtx,6
fs_183_6.mtx,8
GD96_d.mtx,4
cage_G_15.mtx,4
cage_G_04.mtx,3
tumorAntiAngiogenesis_1.mtx,5
tumorAntiAngiogenesis_7.mtx,5
bcspwr04.mtx,8
problem1.mtx,6
rw136.mtx,5
Erdos971.mtx,10
dwt_221.mtx,6
can_144.mtx,7
cage_G_01.mtx,4
cage_G_34.mtx,4
Chebyshev1.mtx,9
SmallW.mtx,10
n3c6-b1.mtx,3
str_200.mtx,7
cage_G_31.mtx,4
west0479.mtx,6
dwt_419.mtx,7
grid1_dual.mtx,2
oscil_trans_01.mtx,5
cage_G_03.mtx,4
can_229.mtx,6
can_445.mtx,7
celegans_metabolic.mtx,10
cage_G_45.mtx,2
pivtol.mtx,3
dwt_198.mtx,7
olm100.mtx,4
mcca.mtx,34
spaceStation_3.mtx,9
plskz362.mtx,5
cage_G_44.mtx,2
Erdos991.mtx,10
cage_G_11.mtx,4
ash292.mtx,6
qc324.mtx,81
cage_G_17.mtx,4
west0381.mtx,6
Harvard500.mtx,21
gre_343.mtx,6
cage_G_40.mtx,2
bcsstk03.mtx,5
cage_G_36.mtx,2
dwt_346.mtx,8
poisson2D.mtx,6
dwt_310.mtx,7
tols340.mtx,19
steam1.mtx,9
cage_G_30.mtx,4
cage7.mtx,8
cage_G_27.mtx,3
dwt_193.mtx,14
lshp_265.mtx,5
USAir97.mtx,23
gre_185.mtx,6
can_161.mtx,6
dwt_492.mtx,6
gre_115.mtx,2
west0156.mtx,6
orbitRaising_1.mtx,5
oscil_dcop_19.mtx,5
utm300.mtx,12
dwt_234.mtx,3
cage_G_09.mtx,4
olm500.mtx,4
ex2.mtx,47
will199.mtx,5
mesh2em5.mtx,6
494_bus.mtx,5
cage_G_07.mtx,4
rajat05.mtx,6
west0132.mtx,6
saylr1.mtx,2
can_187.mtx,7
bwm200.mtx,4
Erdos981.mtx,11
dwt_162.mtx,7
can_292.mtx,8
rdb450.mtx,2
rw496.mtx,6
cage_G_16.mtx,4
cage_G_02.mtx,2
cage_G_24.mtx,3
Trefethen_200.mtx,3
tub100.mtx,4
cage_G_25.mtx,3
lnsp_131.mtx,7
cage_G_33.mtx,5
west0497.mtx,6
GD01_a.mtx,7
ck104.mtx,9
cavity02.mtx,25
lshp_406.mtx,6
gre_216b.mtx,2
bcsstk20.mtx,7
cage_G_06.mtx,4
GD06_theory.mtx,2
football.mtx,9
cage_G_43.mtx,2
str_600.mtx,7
dwt_245.mtx,6
impcol_d.mtx,6
cage_G_20.mtx,4
