gname;family;nodes;edges;optimal;degree1;degree2;degree3;closeness;clustering;pagerank;weighted;uniform;random
cage_G_01.mtx;not available;10;30;3;4;4;4;4;4;4;4;4;32
cage_G_02.mtx;not available;14;42;2;2;2;2;2;2;2;2;2;26
cage_G_03.mtx;not available;24;72;3;4;4;4;4;4;4;4;4;32
cage_G_04.mtx;not available;30;90;2;3;3;3;3;3;3;3;3;34
cage_G_05.mtx;not available;58;174;3;4;4;4;4;4;4;4;4;38
cage_G_06.mtx;not available;58;174;3;4;4;4;3;4;4;3;4;4
cage_G_07.mtx;not available;58;174;3;4;4;4;3;4;4;3;4;38
cage_G_08.mtx;not available;58;174;3;4;4;4;4;4;4;4;4;4
cage_G_09.mtx;not available;58;174;3;4;4;4;4;4;4;4;4;4
cage_G_10.mtx;not available;58;174;3;3;3;3;4;3;3;4;3;38
cage_G_11.mtx;not available;58;174;3;3;3;3;4;3;3;4;3;4
cage_G_12.mtx;not available;58;174;3;4;4;4;4;4;4;4;4;38
cage_G_13.mtx;not available;58;174;3;4;4;4;4;4;4;4;4;38
cage_G_14.mtx;not available;58;174;3;4;4;4;4;4;4;4;4;4
cage_G_15.mtx;not available;58;174;3;3;3;3;4;3;3;4;3;4
cage_G_16.mtx;not available;58;174;3;3;3;3;3;3;3;3;3;4
cage_G_17.mtx;not available;58;174;3;4;4;4;3;4;4;3;4;4
cage_G_18.mtx;not available;58;174;3;3;3;3;4;3;3;4;3;4
cage_G_19.mtx;not available;58;174;3;3;3;3;3;3;3;3;3;38
cage_G_20.mtx;not available;58;174;3;3;3;3;4;3;3;4;3;38
cage_G_21.mtx;not available;58;174;3;4;4;4;4;4;4;4;4;36
cage_G_22.mtx;not available;58;174;3;4;4;4;4;4;4;4;4;38
cage_G_23.mtx;not available;70;210;2;3;3;3;3;3;3;3;3;4
cage_G_24.mtx;not available;70;210;2;3;3;3;3;3;3;3;3;38
cage_G_25.mtx;not available;70;210;2;3;3;3;3;3;3;3;3;38
cage_G_27.mtx;not available;126;378;2;4;4;4;4;4;4;4;4;4
cage_G_28.mtx;not available;272;816;3;4;4;4;4;4;4;4;4;4
cage_G_29.mtx;not available;406;1218;2;3;3;3;3;3;3;3;3;4
cage_G_30.mtx;not available;620;1860;3;4;4;4;4;4;4;4;4;4
cage_G_31.mtx;not available;19;76;3;4;4;4;4;4;4;4;4;38
cage_G_32.mtx;not available;26;104;2;3;3;3;3;3;3;3;3;34
cage_G_33.mtx;not available;76;304;3;4;4;4;5;4;4;5;4;42
cage_G_34.mtx;not available;80;320;2;4;4;4;4;4;4;4;4;42
