gname;family;nodes;edges;degree1;degree2;degree3;closeness;clustering;pagerank;weighted;uniform;;degree1;degree2;degree3;closeness;clustering;pagerank;weighted
mcca.mtx;2D/3D problem;180;4958;64;64;65;64;69;65;64;66;;1;1;1,015625;1;1,078125;1,015625;1
plskz362.mtx;2D/3D problem;362;1760;12;11;10;9;11;12;9;13;;1,090909091;1;0,909090909;0,818181818;1;1,090909091;0,818181818
ck104.mtx;2D/3D problem;104;1776;14;13;13;10;14;14;10;14;;1,076923077;1;1;0,769230769;1,076923077;1,076923077;0,769230769
grid1_dual.mtx;2D/3D problem;224;840;10;8;7;8;10;10;8;10;;1,25;1;0,875;1;1,25;1,25;1
cz148.mtx;2D/3D problem;148;2758;38;35;35;37;38;38;37;36;;1,085714286;1;1;1,057142857;1,085714286;1,085714286;1,057142857
pde225.mtx;2D/3D problem;225;1680;8;8;11;7;8;8;7;9;;1;1;1,375;0,875;1;1;0,875
nnc261.mtx;2D/3D problem;261;2700;19;18;19;18;19;21;18;20;;1,055555556;1;1,055555556;1;1,055555556;1,166666667;1
problem1.mtx;2D/3D problem;415;4728;13;13;13;10;13;14;11;14;;1;1;1;0,769230769;1;1,076923077;0,846153846
ck400.mtx;2D/3D problem;400;4920;15;15;15;10;14;14;11;15;;1;1;1;0,666666667;0,933333333;0,933333333;0,733333333
grid1.mtx;2D/3D problem;252;952;10;9;8;8;10;8;7;9;;1,111111111;1;0,888888889;0,888888889;1,111111111;0,888888889;0,777777778
cz308.mtx;2D/3D problem;308;5748;34;31;33;34;33;34;35;35;;1,096774194;1;1,064516129;1,096774194;1,064516129;1,096774194;1,129032258
plat362.mtx;2D/3D problem;362;5424;31;27;25;25;30;35;23;32;;1,148148148;1;0,925925926;0,925925926;1,111111111;1,296296296;0,851851852
odepa400.mtx;2D/3D problem;400;1602;5;5;5;5;5;6;5;5;;1;1;1;1;1;1,2;1
west0479.mtx;chemical process simulation problem;479;3804;39;39;39;39;39;39;39;39;;1;1;1;1;1;1;1
west0156.mtx;chemical process simulation problem;156;742;13;12;13;12;14;14;13;16;;1,083333333;1;1,083333333;1;1,166666667;1,166666667;1,083333333
west0381.mtx;chemical process simulation problem;381;4312;79;62;63;64;83;80;64;78;;1,274193548;1;1,016129032;1,032258065;1,338709677;1,290322581;1,032258065
impcol_a.mtx;chemical process simulation problem;207;1128;16;15;16;15;17;16;15;18;;1,066666667;1;1,066666667;1;1,133333333;1,066666667;1
bwm200.mtx;chemical process simulation problem;200;1192;8;8;8;4;8;7;4;8;;1;1;1;0,5;1;0,875;0,5
impcol_d.mtx;chemical process simulation problem;425;2608;20;17;18;19;20;21;19;20;;1,176470588;1;1,058823529;1,117647059;1,176470588;1,235294118;1,117647059
