graphname,num_nodes,num_edges,degree1,degree2,degree3,closeness,clustering,pagerank,uniform,random,dynamic,saturation
Lin.mtx,256000.0,1011200.0,2,2.0,2.0,2.0,2.0,6.0,2.0,6.0,2.0,2
HTC_336_9129.mtx,226340.0,554881.0,4,4.0,4.0,5.0,4.0,4.0,4.0,6.4,4.0,4
af_shell6.mtx,504855.0,9046865.0,25,30.0,30.0,30.0,25.0,30.0,25.0,27.0,25.0,24
com-DBLP.mtx,317080.0,1049866.0,114,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114
filter3D.mtx,106437.0,1406808.0,16,16.0,16.0,16.0,16.0,16.0,17.0,19.0,16.0,14
rgg_n_2_18_s0.mtx,262141.0,1547283.0,16,18.0,17.0,17.0,19.0,16.0,17.0,17.8,17.0,16
cfd2.mtx,123440.0,1605669.0,14,16.0,16.0,17.0,14.0,19.0,14.0,17.2,14.0,14
gearbox.mtx,153746.0,4617075.0,42,43.0,48.0,47.0,41.0,49.0,46.0,42.0,36.0,37
2cubes_sphere.mtx,101492.0,874378.0,11,12.0,12.0,12.0,11.0,12.0,12.0,12.4,12.0,10
CurlCurl_1.mtx,226451.0,1349261.0,7,7.0,7.0,7.0,7.0,8.0,7.0,9.0,6.0,6
ins2.mtx,309412.0,1530448.0,5,5.0,5.0,6.0,5.0,5.0,5.0,7.0,5.0,5
bundle_adj.mtx,513351.0,10360701.0,9,9.0,9.0,9.0,9.0,9.0,9.0,17.0,9.0,9
il2010.mtx,451554.0,1082232.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.2,6.0,5
ms2010.mtx,171778.0,419990.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5
auto.mtx,448695.0,3314611.0,12,12.0,12.0,12.0,12.0,12.0,13.0,13.2,11.0,10
transient.mtx,178866.0,961790.0,6,6.0,6.0,6.0,6.0,6.0,6.0,7.8,6.0,6
ks2010.mtx,238600.0,560899.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5
thermomech_TC.mtx,102158.0,406858.0,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6
fcondp2.mtx,201822.0,5748069.0,42,42.0,42.0,48.0,42.0,42.0,42.0,39.4,36.0,36
ut2010.mtx,115406.0,286033.0,6,6.0,6.0,7.0,6.0,6.0,7.0,8.0,6.0,5
loc-Gowalla.mtx,196591.0,950327.0,30,34.0,36.0,33.0,37.0,31.0,40.0,42.8,34.0,29
largebasis.mtx,440020.0,5560100.0,3,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2
delaunay_n17.mtx,131072.0,393176.0,6,6.0,7.0,7.0,6.0,6.0,7.0,7.2,6.0,6
troll.mtx,213453.0,6099282.0,45,48.0,48.0,42.0,45.0,45.0,45.0,39.8,45.0,37
kron_g500-logn17.mtx,107909.0,5114375.0,209,203.0,211.0,212.0,215.0,210.0,228.0,256.8,205.0,193
power9.mtx,155376.0,2512300.0,7,6.0,8.0,12.0,6.0,10.0,5.0,11.6,5.0,5
para-4.mtx,153226.0,5326228.0,30,31.0,32.0,30.0,30.0,30.0,30.0,27.8,30.0,22
xenon2.mtx,157464.0,3866688.0,20,21.0,21.0,21.0,19.0,21.0,19.0,20.0,16.0,17
nd2010.mtx,133769.0,312973.0,6,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,5
rgg_n_2_19_s0.mtx,524284.0,3269766.0,18,19.0,19.0,19.0,20.0,18.0,18.0,18.8,18.0,18
power197k.mtx,197156.0,3698357.0,205,205.0,205.0,206.0,217.0,205.0,212.0,209.0,205.0,205
delaunay_n19.mtx,524288.0,1572823.0,6,6.0,7.0,7.0,6.0,7.0,7.0,7.4,6.0,6
Si41Ge41H72.mtx,185639.0,7598452.0,421,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421
gsm_106857.mtx,589446.0,11174185.0,27,28.0,27.0,27.0,27.0,30.0,30.0,28.4,27.0,24
coAuthorsDBLP.mtx,299067.0,977676.0,115,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115
nxp1.mtx,414604.0,2656177.0,16,15.0,15.0,17.0,19.0,16.0,18.0,17.2,15.0,14
test1.mtx,392908.0,12968200.0,20,23.0,23.0,20.0,20.0,20.0,19.0,22.0,20.0,17
ar2010.mtx,186211.0,452155.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.2,6.0,5
ML_Laplace.mtx,377002.0,27689972.0,34,34.0,36.0,38.0,34.0,45.0,32.0,45.0,34.0,36
mono_500Hz.mtx,169410.0,5036288.0,42,42.0,41.0,50.0,42.0,42.0,45.0,46.4,42.0,49
vsp_mod2_pgp2_slptsk.mtx,101364.0,389368.0,15,15.0,15.0,15.0,17.0,15.0,21.0,20.4,15.0,14
kron_g500-logn18.mtx,210155.0,10583222.0,258,258.0,263.0,262.0,267.0,260.0,283.0,316.4,257.0,245
engine.mtx,143571.0,2424822.0,33,27.0,27.0,27.0,33.0,33.0,39.0,30.0,24.0,21
hood.mtx,220542.0,5494489.0,42,42.0,42.0,42.0,42.0,42.0,42.0,35.2,35.0,35
nc2010.mtx,288987.0,708310.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5
mo2010.mtx,343565.0,828284.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.4,6.0,5
sc2010.mtx,181908.0,446580.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.2,6.0,5
coPapersCiteseer.mtx,434102.0,16036720.0,845,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845
nm2010.mtx,168609.0,415485.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.4,6.0,5
ma2010.mtx,157508.0,388305.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.2,6.0,5
kron_g500-logn19.mtx,409175.0,21781478.0,323,320.0,325.0,323.0,327.0,321.0,350.0,395.0,317.0,306
af_3_k101.mtx,503625.0,9027150.0,20,15.0,20.0,25.0,20.0,30.0,15.0,26.8,15.0,17
ch7-8-b5.mtx,141120.0,846720.0,7,10.0,9.0,9.0,7.0,9.0,7.0,9.0,9.0,6
ohne2.mtx,181343.0,11063545.0,39,45.0,48.0,42.0,42.0,54.0,37.0,43.8,42.0,32
wave.mtx,156317.0,1059331.0,10,11.0,11.0,11.0,10.0,10.0,12.0,12.2,11.0,9
Ga10As10H30.mtx,113081.0,3114357.0,390,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390
para-6.mtx,155924.0,5416358.0,30,30.0,32.0,31.0,30.0,30.0,30.0,27.8,30.0,22
msdoor.mtx,415863.0,10328399.0,42,42.0,42.0,49.0,42.0,42.0,42.0,36.6,42.0,35
bmw3_2.mtx,227362.0,5757996.0,47,48.0,48.0,48.0,48.0,48.0,51.0,40.6,47.0,37
rgg_n_2_17_s0.mtx,131070.0,728753.0,15,16.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,15
turon_m.mtx,189924.0,912345.0,7,7.0,7.0,7.0,7.0,8.0,7.0,9.4,6.0,6
md2010.mtx,145247.0,350189.0,6,6.0,6.0,7.0,6.0,6.0,7.0,7.4,6.0,5
al2010.mtx,252266.0,615241.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5
preferentialAttachment.mtx,100000.0,499985.0,8,8.0,8.0,8.0,13.0,8.0,9.0,14.6,8.0,6
Hardesty1.mtx,938905.0,6539157.0,8,9.0,9.0,9.0,9.0,10.0,7.0,11.0,8.0,5
c-73b.mtx,169422.0,724348.0,2,2.0,2.0,2.0,2.0,2.0,2.0,7.2,2.0,2
mario002.mtx,389874.0,1167685.0,5,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5
coAuthorsCiteseer.mtx,227320.0,814134.0,87,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87
analytics.mtx,303813.0,1129939.0,12,12.0,12.0,12.0,12.0,12.0,12.0,14.2,12.0,12
inline_1.mtx,503712.0,18660027.0,48,48.0,46.0,48.0,51.0,48.0,51.0,46.8,48.0,42
Dubcova3.mtx,146689.0,1891669.0,16,16.0,16.0,16.0,16.0,16.0,16.0,20.2,16.0,16
ASIC_320k.mtx,321821.0,2635364.0,8,9.0,9.0,9.0,7.0,7.0,10.0,10.0,7.0,8
