Name,Family
./../../Matrices/small/adjnoun.mtx,undirected graph
./../../Matrices/small/mesh2em5.mtx,structural problem
./../../Matrices/small/tub100.mtx,computational fluid dynamics problem
./../../Matrices/small/oscil_dcop_19.mtx,subsequent circuit simulation problem
./../../Matrices/small/rw496.mtx,statistical/mathematical problem
./../../Matrices/small/can_292.mtx,structural problem
./../../Matrices/small/cage_G_30.mtx,
./../../Matrices/small/dwt_346.mtx,structural problem
./../../Matrices/small/plskz362.mtx,2D/3D problem
./../../Matrices/small/GD00_a.mtx,directed graph
./../../Matrices/small/Trefethen_500.mtx,combinatorial problem
./../../Matrices/small/tumorAntiAngiogenesis_1.mtx,optimal control problem
./../../Matrices/small/bcsstm07.mtx,structural problem
./../../Matrices/small/west0167.mtx,chemical process simulation problem
./../../Matrices/small/cage_G_10.mtx,
./../../Matrices/small/bcsstk22.mtx,structural problem
./../../Matrices/small/can_144.mtx,structural problem
./../../Matrices/small/bcspwr05.mtx,power network problem
./../../Matrices/small/gent113.mtx,statistical/mathematical problem
./../../Matrices/small/grid1.mtx,2D/3D problem
./../../Matrices/small/Trefethen_300.mtx,combinatorial problem
./../../Matrices/small/mhdb416.mtx,electromagnetics problem
./../../Matrices/small/polbooks.mtx,undirected graph
./../../Matrices/small/cage_G_20.mtx,
./../../Matrices/small/robot.mtx,robotics problem
./../../Matrices/small/cage_G_04.mtx,
./../../Matrices/small/cage_G_34.mtx,
./../../Matrices/small/str_0.mtx,optimization problem sequence
./../../Matrices/small/cage_G_37.mtx,
./../../Matrices/small/grid1_dual.mtx,2D/3D problem
./../../Matrices/small/rw136.mtx,statistical/mathematical problem
./../../Matrices/small/impcol_d.mtx,chemical process simulation problem
./../../Matrices/small/tols340.mtx,computational fluid dynamics problem
./../../Matrices/small/Chebyshev1.mtx,structural problem
./../../Matrices/small/Erdos971.mtx,undirected graph
./../../Matrices/small/problem1.mtx,2D/3D problem
./../../Matrices/small/rajat05.mtx,circuit simulation problem
./../../Matrices/small/cage_G_28.mtx,
./../../Matrices/small/cage_G_08.mtx,
./../../Matrices/small/ex2.mtx,computational fluid dynamics problem
./../../Matrices/small/cage_G_03.mtx,
./../../Matrices/small/GD06_theory.mtx,undirected graph
./../../Matrices/small/cage_G_01.mtx,
./../../Matrices/small/GD01_a.mtx,directed weighted graph
./../../Matrices/small/cage_G_21.mtx,
./../../Matrices/small/dwt_307.mtx,structural problem
./../../Matrices/small/orbitRaising_1.mtx,optimal control problem
./../../Matrices/small/gre_343.mtx,directed weighted graph
./../../Matrices/small/rajat14.mtx,circuit simulation problem
./../../Matrices/small/cage_G_31.mtx,
./../../Matrices/small/tumorAntiAngiogenesis_3.mtx,optimal control problem
./../../Matrices/small/ex1.mtx,computational fluid dynamics problem
./../../Matrices/small/cage7.mtx,directed weighted graph
./../../Matrices/small/cage_G_22.mtx,
./../../Matrices/small/GD98_c.mtx,undirected graph
./../../Matrices/small/sphere3.mtx,structural problem
./../../Matrices/small/494_bus.mtx,power network problem
./../../Matrices/small/impcol_c.mtx,chemical process simulation problem
./../../Matrices/small/dwt_492.mtx,structural problem
./../../Matrices/small/dwt_193.mtx,structural problem
./../../Matrices/small/can_229.mtx,structural problem
./../../Matrices/small/cage_G_06.mtx,
./../../Matrices/small/will199.mtx,structural problem
./../../Matrices/small/cage_G_42.mtx,
./../../Matrices/small/cage_G_07.mtx,
./../../Matrices/small/saylr1.mtx,computational fluid dynamics problem
./../../Matrices/small/can_187.mtx,structural problem
./../../Matrices/small/ck400.mtx,2D/3D problem
./../../Matrices/small/impcol_e.mtx,chemical process simulation problem
./../../Matrices/small/cage_G_38.mtx,
./../../Matrices/small/bcspwr04.mtx,power network problem
./../../Matrices/small/dwt_419.mtx,structural problem
./../../Matrices/small/rdb200.mtx,computational fluid dynamics problem
./../../Matrices/small/cage_G_32.mtx,
./../../Matrices/small/cage_G_24.mtx,
./../../Matrices/small/nnc261.mtx,2D/3D problem
