Graph Name, Num_nodes, Num_edges, DegreeOrderDesc, Degree2OrderDesc,  Degree3OrderDesc,Random, ClusteringCoeffDesc, ClosenessCentralityDesc, PageRankDesc, Regression ,
west0479.mtx,479,1910,6,6,7,7,8,6,6,6,
Trefethen_200.mtx,200,1545,8,4,8,8,8,8,7,3,
spaceStation_2.mtx,329,2999,8,7,8,10,7,7,8,7,
oscil_dcop_30.mtx,430,1544,4,4,4,5,4,4,4,3,
tols340.mtx,340,2196,19,19,19,19,19,19,19,19,
dwt_346.mtx,346,1786,7,7,9,8,7,7,7,7,
oscil_dcop_17.mtx,430,1544,4,4,4,4,4,4,4,3,
jazz.mtx,198,2742,30,30,31,30,30,30,30,30,
bcsstm04.mtx,132,132,0,0,0,0,0,0,0,0,
oscil_dcop_27.mtx,430,1544,4,4,4,4,4,4,4,3,
can_292.mtx,292,1416,6,7,7,8,6,6,7,6,
lund_a.mtx,147,1298,13,11,11,14,14,9,10,9,
will199.mtx,199,701,5,5,6,6,6,5,6,5,
sphere3.mtx,258,1026,6,6,6,6,6,5,4,5,
cage_G_32.mtx,26,52,3,3,3,4,3,3,3,3,
dwt_221.mtx,221,925,6,6,7,6,6,6,7,6,
can_161.mtx,161,769,7,7,7,7,7,6,7,7,
cage_G_21.mtx,58,87,3,3,3,3,3,3,3,3,
GD99_c.mtx,105,149,4,3,4,4,4,3,3,3,
oscil_dcop_37.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_22.mtx,430,1544,4,4,4,4,4,4,4,3,
west0156.mtx,156,371,4,5,4,5,5,5,4,5,
cage_G_34.mtx,80,160,4,4,4,4,4,4,4,4,
cage_G_26.mtx,112,168,3,3,3,3,3,3,3,3,
bcspwr05.mtx,443,1033,4,4,4,4,4,4,4,4,
rajat05.mtx,301,1384,4,5,5,6,5,4,4,4,
rotor1.mtx,100,708,7,8,10,10,8,7,7,7,
cavity03.mtx,317,7327,19,19,20,20,22,19,23,19,
cage_G_09.mtx,58,87,3,3,3,3,3,3,3,3,
oscil_dcop_35.mtx,430,1544,4,4,4,5,4,4,4,3,
cage_G_10.mtx,58,87,3,3,3,3,3,3,3,3,
nos5.mtx,468,2820,8,8,8,8,9,8,8,8,
can_256.mtx,256,1586,8,9,9,9,8,9,8,9,
ex2.mtx,441,13640,45,45,50,48,45,45,45,45,
gent113.mtx,113,655,4,4,6,5,5,4,4,4,
cage_G_44.mtx,266,1596,2,2,2,6,2,2,2,2,
oscil_dcop_56.mtx,430,1544,4,4,4,4,4,4,4,3,
arc130.mtx,130,1282,15,16,15,16,15,15,15,15,
mesh3em5.mtx,289,1089,6,6,6,6,6,3,5,4,
poisson2D.mtx,367,2417,6,6,6,6,6,5,6,5,
oscil_dcop_39.mtx,430,1544,4,4,4,4,4,4,4,3,
Erdos971.mtx,433,1314,9,8,11,11,10,9,9,9,
west0381.mtx,381,2157,6,7,8,9,8,7,6,7,
oscil_dcop_34.mtx,430,1544,4,4,4,4,4,4,4,3,
spaceStation_3.mtx,467,2681,9,9,7,9,7,7,9,7,
cage_G_45.mtx,366,2562,2,2,2,9,2,2,2,2,
lshp_265.mtx,265,1009,6,6,5,5,6,4,6,4,
can_229.mtx,229,1003,6,6,5,7,7,5,6,4,
oscil_dcop_21.mtx,430,1544,4,4,4,5,4,4,4,3,
