Graph Name, Num_nodes, Num_edges, DegreeOrderDesc, DegreeOrderAsc, Random, ClusteringCoeffDesc,ClusteringCoeffAsc, ClosenessCentralityDesc, ClosenessCentralityAsc, PageRankDesc, PageRankAsc , Colors
west0479.mtx,479,1910,6,8,6,7,7,7,7,8,7,4
Trefethen_200.mtx,200,1545,9,8,9,8,9,8,6,8,4,3
spaceStation_2.mtx,329,2999,8,8,10,8,8,7,7,7,7,7
oscil_dcop_30.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
tols340.mtx,340,2196,19,19,19,19,19,19,19,19,19,19
dwt_346.mtx,346,1786,6,10,8,10,8,8,8,8,8,5
oscil_dcop_17.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
jazz.mtx,198,2742,30,31,30,30,30,30,30,30,30,30
bcsstm04.mtx,132,132,1,1,1,1,1,1,1,1,1,1
oscil_dcop_27.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
can_292.mtx,292,1416,6,9,8,9,6,7,7,7,7,5
lund_a.mtx,147,1298,13,15,14,16,14,11,17,14,13,9
will199.mtx,199,701,6,6,6,6,6,6,6,5,5,4
sphere3.mtx,258,1026,6,6,6,6,6,5,5,6,6,3
cage_G_32.mtx,26,52,3,2,3,3,2,3,2,3,2,2
dwt_221.mtx,221,925,6,7,6,7,7,6,6,7,5,5
can_161.mtx,161,769,7,6,7,7,6,6,7,7,6,4
cage_G_21.mtx,58,87,3,3,3,3,3,3,3,3,3,3
GD99_c.mtx,105,149,4,4,4,3,3,3,4,4,4,3
oscil_dcop_37.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_22.mtx,430,1544,4,5,5,4,4,4,5,4,4,3
west0156.mtx,156,371,4,6,5,5,4,5,5,5,5,3
cage_G_34.mtx,80,160,4,2,4,4,2,4,2,4,2,2
cage_G_26.mtx,112,168,3,3,3,3,3,3,3,3,3,3
bcspwr05.mtx,443,1033,4,5,4,4,5,5,5,5,5,3
rajat05.mtx,301,1384,4,6,5,5,5,5,5,6,5,4
rotor1.mtx,100,708,8,9,9,9,8,8,8,9,8,7
cavity03.mtx,317,7327,19,26,20,20,22,23,25,23,19,19
cage_G_09.mtx,58,87,3,3,3,3,3,3,3,3,3,3
oscil_dcop_35.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
cage_G_10.mtx,58,87,3,3,3,3,3,3,3,3,3,3
nos5.mtx,468,2820,8,10,9,9,9,8,8,9,8,8
can_256.mtx,256,1586,8,10,9,10,8,10,10,9,8,7
ex2.mtx,441,13640,45,52,46,48,45,50,45,50,46,45
gent113.mtx,113,655,4,6,5,6,5,5,5,4,5,4
cage_G_44.mtx,266,1596,2,3,5,2,3,2,3,2,3,2
oscil_dcop_56.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
