Graph Name, Num_nodes, Num_edges, DegreeOrderDesc, DegreeOrderAsc, Degree2OrderDesc,  Degree2OrderAsc,  Degree3OrderDesc, Degree3OrderAsc,Random, ClusteringCoeffDesc,ClusteringCoeffAsc, ClosenessCentralityDesc, ClosenessCentralityAsc, PageRankDesc, PageRankDesc 
494_bus.mtx,494,1080,4,5,3,5,4,5,4,4,5,3,4,4,5
adjnoun.mtx,112,425,6,9,6,9,9,7,8,8,7,7,8,6,8
arc130.mtx,130,1282,15,15,16,15,15,15,16,15,15,15,15,15,15
ash292.mtx,292,1250,6,8,7,7,8,8,7,7,7,6,8,6,9
bcspwr03.mtx,118,297,4,5,4,5,4,5,5,5,4,4,5,4,5
bcspwr04.mtx,274,943,8,9,8,8,7,8,8,8,8,8,8,8,9
bcspwr05.mtx,443,1033,4,5,4,5,4,5,5,4,5,4,5,4,5
bcsstk03.mtx,112,376,5,5,5,5,5,5,5,5,5,4,5,4,5
bcsstk04.mtx,132,1890,13,17,15,14,18,14,16,17,14,13,17,13,16
bcsstk05.mtx,153,1288,12,12,11,12,10,9,9,10,11,11,11,9,12
bcsstk06.mtx,420,4140,13,18,15,16,15,16,17,18,14,14,16,13,20
bcsstk07.mtx,420,4140,13,18,15,16,15,16,15,18,14,14,16,13,20
bcsstk20.mtx,485,1810,9,8,9,9,9,9,8,9,9,6,7,9,9
bcsstk22.mtx,138,417,6,6,6,6,5,6,6,6,5,5,6,6,5
bcsstm03.mtx,112,112,1,1,1,1,1,1,1,1,1,1,1,1,1
bcsstm04.mtx,132,132,1,1,1,1,1,1,1,1,1,1,1,1,1
bcsstm05.mtx,153,153,1,1,1,1,1,1,1,1,1,1,1,1,1
bcsstm06.mtx,420,420,1,1,1,1,1,1,1,1,1,1,1,1,1
bcsstm07.mtx,420,3836,13,18,14,17,14,15,14,16,13,13,16,16,19
bcsstm20.mtx,485,485,1,1,1,1,1,1,1,1,1,1,1,1,1
bcsstm22.mtx,138,138,1,1,1,1,1,1,1,1,1,1,1,1,1
bfwa398.mtx,398,3678,6,10,7,10,8,10,9,9,7,7,10,6,9
bfwb398.mtx,398,1654,5,8,5,9,6,7,7,8,6,4,9,6,8
